width:13.75, height:5.967, time:0.0009953975677490234
width:13.824, height:5.925, time:0.004806995391845703
width:13.774, height:5.94, time:0.009403228759765625
width:13.851, height:5.968, time:0.012553215026855469
width:13.995, height:5.973, time:0.015132904052734375
width:13.994, height:5.967, time:0.01613306999206543
width:13.944, height:5.96, time:0.01613306999206543
width:13.944, height:5.96, time:0.018555402755737305
width:13.969, height:6.002, time:0.021366119384765625
width:14.044, height:5.978, time:0.024531126022338867
width:13.943, height:5.977, time:0.02754831314086914
width:13.942, height:5.978, time:0.02883005142211914
width:13.992, height:5.973, time:0.03137564659118652
width:13.992, height:5.98, time:0.0343775749206543
width:13.992, height:5.975, time:0.035378456115722656
width:13.993, height:5.966, time:0.03838205337524414
width:13.968, height:5.952, time:0.0413973331451416
width:13.968, height:5.962, time:0.04494357109069824
width:13.967, height:5.971, time:0.047153472900390625
width:13.967, height:5.976, time:0.05016207695007324
width:13.967, height:5.955, time:0.053313255310058594
width:13.917, height:5.904, time:0.05644106864929199
width:13.891, height:5.961, time:0.05977010726928711
width:13.917, height:5.966, time:0.06240367889404297
width:13.942, height:5.937, time:0.0657663345336914
width:13.993, height:5.986, time:0.06896567344665527
width:14.017, height:5.998, time:0.07367944717407227
width:14.017, height:6.021, time:0.07688283920288086
width:14.017, height:6.058, time:0.07989120483398438
width:13.917, height:6.054, time:0.08189129829406738
width:13.916, height:6.059, time:0.0838918685913086
width:13.916, height:6.061, time:0.0858919620513916
width:13.994, height:6.057, time:0.08927154541015625
width:14.019, height:6.033, time:0.0922698974609375
width:14.019, height:6.045, time:0.09526991844177246
width:14.019, height:6.06, time:0.09627056121826172
width:14.068, height:6.061, time:0.09916901588439941
width:13.992, height:6.062, time:0.10217523574829102
width:13.968, height:6.069, time:0.10518407821655273
width:13.968, height:6.086, time:0.10618472099304199
width:13.993, height:6.122, time:0.10972118377685547
width:14.017, height:6.018, time:0.11271810531616211
width:14.019, height:6.038, time:0.11572504043579102
width:14.019, height:6.038, time:0.11672544479370117
width:13.993, height:5.99, time:0.11924099922180176
width:13.97, height:6.025, time:0.12257647514343262
width:13.994, height:6.019, time:0.12498950958251953
width:13.994, height:6.017, time:0.12698864936828613
width:14.044, height:6.039, time:0.12941646575927734
width:13.994, height:5.992, time:0.13241362571716309
width:13.993, height:6.019, time:0.13369369506835938
width:13.993, height:6.013, time:0.13670587539672852
width:13.969, height:6.03, time:0.13895320892333984
width:13.919, height:6.03, time:0.14000177383422852
width:14.018, height:6.059, time:0.14517450332641602
width:14.018, height:6.042, time:0.1488664150238037
width:14.018, height:6.023, time:0.15159296989440918
width:13.968, height:6.063, time:0.15581464767456055
width:14.018, height:6.087, time:0.1601238250732422
width:13.993, height:6.076, time:0.16409921646118164
width:14.018, height:6.087, time:0.16618824005126953
width:14.018, height:6.097, time:0.16618824005126953
width:14.018, height:6.097, time:0.16750335693359375
width:14.018, height:6.083, time:0.17004060745239258
width:14.018, height:6.067, time:0.17209959030151367
width:14.068, height:6.062, time:0.17415237426757812
width:13.968, height:6.002, time:0.17746329307556152
width:14.016, height:6.011, time:0.18248796463012695
width:13.915, height:5.987, time:0.1849656105041504
width:13.914, height:5.985, time:0.18697714805603027
width:13.915, height:5.983, time:0.18753409385681152
width:13.915, height:5.978, time:0.18861842155456543
width:13.915, height:5.974, time:0.18962430953979492
width:13.94, height:5.967, time:0.19256186485290527
width:13.94, height:6.012, time:0.1955580711364746
width:13.991, height:6.011, time:0.1970207691192627
width:14.062, height:5.959, time:0.20126676559448242
width:13.967, height:5.916, time:0.20439434051513672
width:13.966, height:5.939, time:0.2053992748260498
width:14.012, height:5.97, time:0.2084951400756836
width:13.995, height:5.934, time:0.21205377578735352
width:13.966, height:5.952, time:0.21406078338623047
width:13.944, height:5.969, time:0.21706056594848633
width:13.944, height:5.995, time:0.21906328201293945
width:13.943, height:5.954, time:0.22137069702148438
width:13.943, height:5.954, time:0.22487521171569824
width:13.917, height:5.964, time:0.2275395393371582
width:13.942, height:5.96, time:0.22892022132873535
width:13.942, height:5.953, time:0.23117542266845703
width:13.914, height:5.92, time:0.23421096801757812
width:13.913, height:5.92, time:0.23521876335144043
width:13.866, height:5.942, time:0.2382183074951172
width:13.841, height:5.943, time:0.2418043613433838
width:13.842, height:5.947, time:0.24309635162353516
width:13.784, height:5.959, time:0.24547576904296875
width:13.838, height:5.94, time:0.2484726905822754
width:13.914, height:5.919, time:0.24947619438171387
width:13.916, height:5.919, time:0.2515120506286621
width:13.867, height:5.907, time:0.2552042007446289
width:13.842, height:5.921, time:0.25846242904663086
width:13.866, height:5.955, time:0.261427640914917
width:13.866, height:5.926, time:0.26479148864746094
width:13.866, height:5.889, time:0.26790642738342285
width:13.867, height:5.933, time:0.2709062099456787
width:13.842, height:5.978, time:0.2733449935913086
width:13.842, height:5.935, time:0.2783629894256592
width:13.843, height:5.965, time:0.2833843231201172
width:13.793, height:5.947, time:0.2844054698944092
width:13.817, height:5.962, time:0.28949999809265137
width:13.793, height:5.956, time:0.292499303817749
width:13.817, height:5.998, time:0.2954995632171631
width:13.817, height:6.019, time:0.29849886894226074
width:13.792, height:6.037, time:0.3014984130859375
width:13.791, height:6.05, time:0.3025023937225342
width:13.766, height:6.007, time:0.30593228340148926
width:13.817, height:6.005, time:0.3089296817779541
width:13.817, height:6.029, time:0.31192946434020996
width:13.843, height:5.985, time:0.3166942596435547
width:13.842, height:5.998, time:0.3192164897918701
width:13.818, height:5.983, time:0.3230550289154053
width:13.819, height:6.055, time:0.3280611038208008
width:13.794, height:6.008, time:0.3310658931732178
width:13.768, height:6.01, time:0.3340620994567871
width:13.869, height:5.983, time:0.33835744857788086
width:13.819, height:6.014, time:0.34178638458251953
width:13.844, height:6.028, time:0.34479355812072754
width:13.843, height:6.043, time:0.34697937965393066
width:13.843, height:6.043, time:0.34902191162109375
width:13.843, height:6.027, time:0.3515896797180176
width:13.843, height:6.017, time:0.35463714599609375
width:13.843, height:6.05, time:0.3581199645996094
width:13.623, height:6.036, time:0.36064624786376953
width:13.843, height:6.016, time:0.36367082595825195
width:13.818, height:6.01, time:0.3668215274810791
width:13.818, height:6.015, time:0.3693811893463135
width:13.819, height:6.038, time:0.3725399971008301
width:13.87, height:6.008, time:0.3760054111480713
width:13.869, height:5.959, time:0.3782210350036621
width:13.844, height:5.956, time:0.3792235851287842
width:13.844, height:5.979, time:0.38254523277282715
